2020-10-17T00:17:56.564868;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:56.665350;AP1;e4:3e:d7:d4:ea:1c;-66;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:56.767829;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:56.868819;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:56.972697;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:57.587131;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:57.814234;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:57.996646;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:58.201593;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:58.610804;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:02.298044;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:02.651230;AP1;d8:a2:5e:00:8d:96;-68;Apple, Inc.;
2020-10-17T00:18:04.858165;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:04.958133;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:05.063325;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:05.473151;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:12.436478;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:12.740817;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:13.153385;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:13.357731;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:14.895030;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:15.099211;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:15.201593;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:15.404620;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:15.711915;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:15.818353;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:17.866317;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:21.448713;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:22.984902;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
